"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   10302 (40.630833311108, -74.137734298699)","Large residential","321,677","33,939","National Grid"
"   10029 (40.791610720558, -73.944032281065)","Commercial","2,344,076","247,313","ConEd"
"   11223 (40.596939623165, -73.973311472047)","Commercial","2,376,036","250,685","National Grid"
"   10303 (40.633032309993, -74.16834884982)","Small residential","4,136,073","436,379","National Grid"
"   11367 (40.730323085042, -73.82610630716)","Small residential","1,753","185","National Grid"
"   10459 (40.825526216162, -73.893131067844)","Commercial","5,960,440","628,860","ConEd"
"   10044 (40.761976486226, -73.949999674945)","Commercial","234,470","24,738","ConEd"
"   10467 (40.877047912132, -73.871532500824)","Commercial","3,067,369","323,625","ConEd"
"   10461 (40.846960590359, -73.840632836736)","Residential","4,848,889","511,585","ConEd"
"   11230 (40.621929510239, -73.965511060187)","Large residential","12,513,612","1,320,256","National Grid"
"   11218 (40.64322700852, -73.976448622106)","Commercial","2,009,772","212,042","National Grid"
"   11103 (40.762868930257, -73.91327185811)","Commercial","1,904,692","200,956","ConEd"
"   11694 (40.576578305644, -73.850777000558)","Small residential","4,716,368","497,603","National Grid"
"   11385 (40.701224891615, -73.88334858437)","Large residential","5,367,560","566,308","National Grid"
"   10467 (40.877047912132, -73.871532500824)","Large Residential","4,811,979","507,691","ConEd"
"   10465 (40.827628067581, -73.822413141353)","Residential","6,724,287","709,450","ConEd"
"   10007 (40.713630519433, -74.009131383706)","Commercial","981,522","103,556","ConEd"
"   10018 (40.756840774582, -73.996691499813)","Residential","21,822","2,302","ConEd"
"   11692 (40.59313388562, -73.795402084638)","Small residential","2,194,609","231,544","National Grid"
"   11372 (40.751630739367, -73.883612545283)","Large residential","14,227,014","1,501,030","National Grid"
"   11106 (40.761699790013, -73.931663252957)","Residential","1,827,237","192,784","ConEd"
"   11426 (40.737041384952, -73.724156998946)","Commercial","1,716,958","181,149","ConEd"
"   10457 (40.845798371298, -73.898324186812)","Commercial","5,354,415","564,921","ConEd"
"   11103 (40.762868930257, -73.91327185811)","Large Residential","80,092","8,450","ConEd"
"   11357 (40.786284041475, -73.811232061011)","Residential","6,962,862","734,621","ConEd"
"   11109 (40.744414792409, -73.957702346686)","Commercial","752,231","79,365","ConEd"
"   11385 (40.701224891615, -73.88334858437)","Industrial","1,048,061","110,576","National Grid"
"   10308 (40.552935295428, -74.151302759814)","Large residential","77,333","8,159","National Grid"
"   11105 (40.780092072491, -73.90960650024)","Large Residential","23,820","2,513","ConEd"
"   11213 (40.671225169206, -73.936443366368)","Large residential","10,763,716","1,135,632","National Grid"
"   11370 (40.75935377086, -73.8918440004)","Institutional","1,231,730","129,954","National Grid"
"   10302 (40.630833311108, -74.137734298699)","Small residential","3,521,474","371,535","National Grid"
"   10001 (40.750259021437, -73.99688630376)","Commercial","4,628,579","488,341","ConEd"
"   10460 (40.843090348041, -73.87860282506)","Commercial","6,492,444","684,989","ConEd"
"   11411 (40.694293339066, -73.735683291251)","Industrial","4,193","442","National Grid"
"   11211 (40.711589765256, -73.958176750756)","Industrial","1,046,750","110,438","National Grid"
"   11228 (40.616540714083, -74.013277847395)","Industrial","543,497","57,342","National Grid"
"   11229 (40.601233507321, -73.944368541175)","Small residential","12,866,878","1,357,528","National Grid"
"   11215 (40.665557251366, -73.979681535574)","Large residential","6,712,652","708,222","National Grid"
"   10014 (40.733586451354, -74.010199604728)","Residential","3,950,218","416,770","ConEd"
"   11417 (40.676363730802, -73.844542755344)","Large residential","287,216","30,303","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Commercial","141,057","14,882","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Residential","21,201","2,237","ConEd"
"   11377 (40.745193764481, -73.90484714408)","Institutional","811,937","85,664","National Grid"
"   10019 (40.76761164716, -73.991805500224)","Residential","1,511,255","159,446","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Residential","178,497","18,832","ConEd"
"   11106 (40.761699790013, -73.931663252957)","Commercial","2,708,112","285,721","ConEd"
"   11415 (40.708286075142, -73.828556121568)","Commercial","887","94","ConEd"
"   11209 (40.623387097237, -74.030652953471)","Small residential","9,963,344","1,051,189","National Grid"
"   11428 (40.721396964798, -73.741937297268)","Commercial","65,563","6,917","ConEd"
"   10312 (40.542955977337, -74.180376817236)","Institutional","273,950","28,903","National Grid"
"   11105 (40.780092072491, -73.90960650024)","Commercial","3,603,071","380,144","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Residential","186,224","19,648","ConEd"
"   10002 (40.716121467931, -73.985831470246)","Commercial","12,107,072","1,277,364","ConEd"
"   10459 (40.825526216162, -73.893131067844)","Large Residential","62,003","6,542","ConEd"
"   11224 (40.576304656335, -73.999532000401)","Institutional","455,120","48,018","National Grid"
"   10471 (40.901994423104, -73.903626500562)","Commercial","2,240,882","236,426","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Commercial","1,452,146","153,210","ConEd"
"   10037 (40.813297761083, -73.937282525568)","Commercial","2,164,822","228,401","ConEd"
"   11234 (40.61636866748, -73.927732249743)","Commercial","6,157,277","649,627","National Grid"
"   11421 (40.691764587566, -73.85702228585)","Small residential","7,298,987","770,084","National Grid"
"   10017 (40.752456527447, -73.97297648088)","Large Residential","258,733","27,298","ConEd"
"   10470 (40.900127971928, -73.87122775026)","Commercial","841,945","88,830","ConEd"
"   11236 (40.640021493797, -73.901121939926)","Commercial","3,108,542","327,969","National Grid"
"   11693 (40.618303604728, -73.824955315236)","Commercial","948,937","100,118","National Grid"
"   11422 (40.661613493968, -73.736051726406)","Commercial","519,522","54,812","National Grid"
"   11368 (40.749678220374, -73.853040688577)","Small residential","11,110,386","1,172,208","National Grid"
"   11370 (40.75935377086, -73.8918440004)","Large residential","1,074,379","113,353","National Grid"
"   11252 (40.607934094183, -74.02694266727)","Institutional","301,262","31,785","National Grid"
"   10019 (40.76761164716, -73.991805500224)","Commercial","2,660","281","ConEd"
"   11385 (40.701224891615, -73.88334858437)","Small residential","15,255,284","1,609,518","National Grid"
"   10027 (40.811549564461, -73.952900335682)","Residential","331,029","34,925","ConEd"
"   10281 (40.714330000429, -74.015196999742)","Commercial","34,332","3,622","ConEd"
"   11217 (40.682312101322, -73.979567188575)","Small residential","4,615,326","486,943","National Grid"
"   10460 (40.843090348041, -73.87860282506)","Large Residential","121,201","12,787","ConEd"
"   11216 (40.680758670876, -73.949267750906)","Industrial","50,669","5,346","National Grid"
"   11426 (40.737041384952, -73.724156998946)","Residential","233,178","24,602","ConEd"
"   10451 (40.820696407114, -73.923841367985)","Residential","697,652","73,606","ConEd"
"   10301 (40.626785508445, -74.096112910882)","Large residential","3,780,433","398,857","National Grid"
"   11209 (40.623387097237, -74.030652953471)","Large residential","10,004,300","1,055,510","National Grid"
"   11205 (40.693882095283, -73.964334507731)","Institutional","566,498","59,769","National Grid"
"   10128 (40.781770000585, -73.95062814907)","Residential","263,835","27,836","ConEd"
"   11357 (40.786284041475, -73.811232061011)","Commercial","1,271,449","134,145","ConEd"
"   10474 (40.810882923108, -73.882356362356)","Residential","114,041","12,032","ConEd"
"   11214 (40.604011809897, -74.000969000119)","Institutional","855,968","90,309","National Grid"
"   10026 (40.803058121635, -73.953342776048)","Residential","2,349,135","247,847","ConEd"
"   10473 (40.817731470931, -73.860537000082)","Commercial","1,408,773","148,633","ConEd"
"   11228 (40.616540714083, -74.013277847395)","Large residential","761,559","80,349","National Grid"
"   11363 (40.772398418252, -73.746797887413)","Commercial","151,243","15,957","ConEd"
"   11207 (40.670802431187, -73.893841150049)","Industrial","1,355,364","142,998","National Grid"
"   10453 (40.852786838342, -73.913426784319)","Residential","1,591,607","167,923","ConEd"
"   11239 (40.64949607998, -73.865524999879)","Large residential","33,558,083","3,540,566","National Grid"
"   11369 (40.763413273704, -73.872378898667)","Commercial","1,994,597","210,441","National Grid"
"   10280 (40.709594512277, -74.020224535534)","Commercial","103,950","10,967","ConEd"
"   10463 (40.881871962821, -73.911207480541)","Residential","1,918,613","202,424","ConEd"
